_id,wallet_id,aggregated_lp_score,lp_scores[0].total_deposit_all_time,lp_scores[0].retained_liquidity,lp_scores[0].avg_holding_days,reason
6874c04ea794db5e6c4caa5c,0x52352c8edc3407e2ea1dcc770a9bf1513a2de4aa,371.9,0.0,0.0,0.0,High score per deposit
6874c056a794db5e6c4cabc2,0x539085aa32419505e0ef75572853bad3fcef9af3,342.7,0.0,0.0,0.0,High score per deposit
6874c057a794db5e6c4cac2f,0x52a7395b05e217a72bfe077664af3e69d01a663c,476.0,0.0,0.0,0.0,High score per deposit
6874c056a794db5e6c4cabe2,0x531476fbd5f58d6548c026ce54fbce2c45fa416d,340.0,0.0,0.0,0.0,High score per deposit
6874c057a794db5e6c4cac3d,0x52ec7a416f45e349354886ba41de7afc477fed66,274.25,0.0,0.0,0.0,High score per deposit
6874c05fa794db5e6c4cad5b,0x54a56f3cca8d23713fe76e9cc565817eb9815b6a,308.14,0.0,0.0,0.0,High score per deposit
6874c05fa794db5e6c4cad74,0x5443a9d3aec67647204e3e7c4908e0b1ae9612e0,284.02,0.0,0.0,0.0,High score per deposit
6874c068a794db5e6c4caf01,0x54e4a00695b820052c2cbc21d26e07abf3d55e49,487.9,0.0,0.0,0.0,High score per deposit
6874c06fa794db5e6c4cafdb,0x55d3490918014c0a9da98af86ecdc427a37fc97e,320.84,0.0,0.0,0.0,High score per deposit
6874c072a794db5e6c4cb0d5,0x55d554bfde1e61c72fa3c9059cdf3f739d92679a,362.1,0.0,0.0,0.0,High score per deposit
6874c073a794db5e6c4cb10e,0x56209a886c507f8725c822b2b1f77ef4c9dc853c,355.35,0.0,0.0,0.0,High score per deposit
6874c079a794db5e6c4cb1ef,0x578768d2c7c5beb60cccfc148a563c8378e281ec,338.0,0.0,0.0,0.0,High score per deposit
6874c082a794db5e6c4cb35e,0x58f2b059387ca0bd613e720ab0c55c872e11e9ca,556.75,0.0,0.0,0.0,High score per deposit
6874c082a794db5e6c4cb3aa,0x580e0719c2e10f6d510c58ade3ea4f966efa9ff9,288.37,0.0,0.0,0.0,High score per deposit
6874c088a794db5e6c4cb473,0x59ea842fb682086cd624f3213acf04a0d48e01be,322.0,0.0,0.0,0.0,High score per deposit
6874c08ca794db5e6c4cb5a1,0x59b24e043697a6257ce179b9b553ac21bb1678d4,344.84,0.0,0.0,0.0,High score per deposit
6874c08ca794db5e6c4cb5b3,0x59c14801e17673ddc4a73b01676fb2ff27d1c545,477.0,0.0,0.0,0.0,High score per deposit
6874c08ca794db5e6c4cb588,0x593fd8804c45b26bce573f394e80e2d055194705,366.54,0.0,0.0,0.0,High score per deposit
6874c08da794db5e6c4cb5cf,0x59ed948390f079f2534c052acc3419d34975e026,282.9,0.0,0.0,0.0,High score per deposit
6874c095a794db5e6c4cb74d,0x5a13d4c68050557b04aa096244750bd55f1b7f72,301.33,0.0,0.0,0.0,High score per deposit
6874c09ca794db5e6c4cb7bc,0x5b37605ff7e145e44e462d7602082d81da819663,326.25,0.0,0.0,0.0,High score per deposit
6874c09fa794db5e6c4cb89f,0x5b12af90483a15c99466d4b71147987ae914e009,318.5,0.0,0.0,0.0,High score per deposit
6874c09fa794db5e6c4cb8ad,0x5bd97307a40dfbfdbaef4b3d997adb816f2dadcc,331.25,0.0,0.0,0.0,High score per deposit
6874c09fa794db5e6c4cb8a2,0x5b7e7e396a5b9308d6c68271e056396c5f63dda0,282.73,0.0,0.0,0.0,High score per deposit
6874c0a4a794db5e6c4cb934,0x5c182c4089770d1d1cf4a2f9adab651ca833b0f7,519.8,0.0,0.0,0.0,High score per deposit
6874c0b0a794db5e6c4cbbbb,0x5d91c94fd64a08f9b9812c22f4da940b8ceda4ee,275.37,0.0,0.0,0.0,High score per deposit
6874c0a8a794db5e6c4cba7a,0x5c1204b4a61a9cddbf2f489d62fecd0aa53fdb83,314.35,0.0,0.0,0.0,High score per deposit
6874c0b8a794db5e6c4cbd44,0x5e90b92d54c242cf1b3271f301b70522001ea317,280.62,0.0,0.0,0.0,High score per deposit
6874c0b8a794db5e6c4cbd0a,0x5e190617c7cfb30c3c87dd55920e117280d3f8e6,265.06,0.0,0.0,0.0,High score per deposit
6874c0c1a794db5e6c4cbee6,0x5f7bdeaee2ccb4c2422acada027931bdfe4abea7,445.4,0.0,0.0,0.0,High score per deposit
6874c0c7a794db5e6c4cbfba,0x60d28ba9de83ea770227fa7afd6328c92ea889f9,294.81,0.0,0.0,0.0,High score per deposit
6874c0d3a794db5e6c4cc24b,0x614b4034ab53c31239629a06fbeb455dfdbdb49d,294.1,0.0,0.0,0.0,High score per deposit
6874c0cfa794db5e6c4cc0fa,0x6141353c29f88883fe26f0100af081a9a17617db,421.89,0.0,0.0,0.0,High score per deposit
6874c0dca794db5e6c4cc39c,0x631ae5539ca9e8cc1c16dc256f913c6f5366d84e,267.88,0.0,0.0,0.0,High score per deposit
6874c0daa794db5e6c4cc2de,0x6221ef95f8fa3a1ddcda0f09632908ace471824a,269.45,0.0,0.0,0.0,High score per deposit
6874c0dba794db5e6c4cc2f6,0x62e223a0f151711b840e7597dd871d96212a5bfd,392.03,0.0,0.0,0.0,High score per deposit
6874c0dda794db5e6c4cc3ae,0x6323de351d1ac65890318c63eda9ab892249e7b8,299.0,0.0,0.0,0.0,High score per deposit
6874c0eca794db5e6c4cc60c,0x6529770a5c58ca859558670cf98171f600c48783,404.6,0.0,0.0,0.0,High score per deposit
6874c0e4a794db5e6c4cc4bd,0x635a42a2e56162f1c02e6d9b2a4205129f9bee60,297.72,0.0,0.0,0.0,High score per deposit
6874c0e6a794db5e6c4cc558,0x643304bb8499676e46cb2676edb2fca10cb5d750,304.45,0.0,0.0,0.0,High score per deposit
6874c0e6a794db5e6c4cc57f,0x643def0dfebb11ed882278b16e25a202084521d2,284.02,0.0,0.0,0.0,High score per deposit
6874c0e7a794db5e6c4cc581,0x6394f5c76430a09bd1df1f9a5044c838c4a86e49,314.5,0.0,0.0,0.0,High score per deposit
6874c0eea794db5e6c4cc6ce,0x64c3ce1ee9705723acbfeca1d80b21bfb88e9de9,288.25,0.0,0.0,0.0,High score per deposit
6874c0eea794db5e6c4cc6fd,0x647540bfc5199fd94b95445070db4027fd5ce78c,267.24,0.0,0.0,0.0,High score per deposit
6874c0fea794db5e6c4cc95f,0x66c5ad0b62d010fa27d1bb5fbc02051b6c8d04fd,405.0,0.0,0.0,0.0,High score per deposit
6874c100a794db5e6c4cca17,0x6750318c71b66ff9f05a8148423ccf808ccb3f95,292.53,0.0,0.0,0.0,High score per deposit
6874c107a794db5e6c4ccb40,0x6857e80312f49ab7223116a778be598b87657b49,578.45,0.0,0.0,0.0,High score per deposit
